duration_ns,first_row_ns,rows,explain_rows,partitions
4626918152,4626834241,100,10691341,
4437604244,4437546005,100,10691341,
4477735597,4477660965,100,10691341,
3882116320,3882054116,100,10691341,
4350673975,4350579829,100,10691341,
4923562073,4923468658,100,10691341,
6004622766,6004552010,100,10691341,
4661017813,4660969840,91,10691341,
5315230103,5315011454,100,10691341,
7125705050,7125604324,100,10691341,
6503172737,6465416871,919,593844,
15459185458,15459125323,100,593844,
24733235616,24724959472,500,10691341,
4921396988,4921328223,100,10691341,
5076264031,5076212559,100,10691341,
323408,0,0,0,
4179105936,4179007320,100,1000,
4295507147,4295212927,100,1000,
3585223469,3585133066,100,6535855,
5836281766,5836226879,100,10691341,



